Name,Status,Date,Country,"Journalist or Media Worker",Motive,"Type of Death","cpj.org URL"
"Khaled Abdel Thamer",Killed,"March 10, 2014",Iraq,Al-Iraqiya,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/khaled-abdel-thamer/
"Khaled al-Attar",Killed,"July 1, 2005",Iraq,Al-Iraqiya,Confirmed,Murder,https://cpj.org/data/people/khaled-al-attar/
"Khaled al-Khateb",Killed,"July 30, 2017",Syria,RT,Confirmed,Crossfire,https://cpj.org/data/people/khaled-al-khateb/
"Khaled al-Washli",Killed,"January 4, 2015",Yemen,"Al-Masirah TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/khaled-al-washli/
"Khaled al-Zintani",Killed,"June 24, 2016",Libya,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/khaled-al-zintani/
"Khaled Eissa",Killed,"June 24, 2016",Syria,Freelance,Confirmed,Murder,https://cpj.org/data/people/khaled-eissa/
"Khaled Fayyad Obaid al-Hamdani",Killed,"April 12, 2007",Iraq,Nahrain,Confirmed,Crossfire,https://cpj.org/data/people/khaled-fayyad-obaid-al-hamdani/
"Khaled Mahmoud al-Falahi",Killed,"February 23, 2006",Iraq,"Wasan Productions and Al-Arabiya",Confirmed,Murder,https://cpj.org/data/people/khaled-mahmoud-al-falahi/
"Khaled Reyadh Hamad",Killed,"July 20, 2014","Israel and the Occupied Palestinian Territory","Continue Production Films",Confirmed,Crossfire,https://cpj.org/data/people/khaled-reyadh-hamad/
"Khalid Ali Hamada",Killed,"June 15, 2014",Iraq,"Al-Ahad TV",Confirmed,Crossfire,https://cpj.org/data/people/khalid-ali-hamada/
"Khalid W. Hassan",Killed,"July 13, 2007",Iraq,"The New York Times",Confirmed,Murder,https://cpj.org/data/people/khalid-w-hassan/
"Khalil Abu Aathra",Killed,"October 19, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/khalil-abu-aathra/
"Khalil Jibran",Killed,"June 18, 2024",Pakistan,"Khyber News",Confirmed,Murder,https://cpj.org/data/people/khalil-jibran/
"Khamail Khalaf",Killed,"April 5, 2007",Iraq,"Radio Free Iraq",Confirmed,Murder,https://cpj.org/data/people/khamail-khalaf/
"Khem Sambo",Killed,"July 11, 2008",Cambodia,"Moneaseka Khmer",Confirmed,Murder,https://cpj.org/data/people/khem-sambo/
"Kim Wall",Killed,"August 10, 2017",Denmark,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/kim-wall/
"Kirill Radchenko",Killed,"July 30, 2018","Central African Republic","The Investigations Management Centre (TsUR)",Confirmed,Murder,https://cpj.org/data/people/kirill-radchenko/
"Klein Cantoneros",Killed,"May 4, 2005",Philippines,DXAA-FM,Confirmed,Murder,https://cpj.org/data/people/klein-cantoneros/
"Kolawole Omoniyi",Killed,"October 8, 2024",Nigeria,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/kolawole-omoniyi/
"Kotaro Ogawa",Killed,"May 27, 2004",Iraq,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/kotaro-ogawa/
"Laith al-Dulaimi",Killed,"May 8, 2006",Iraq,Al-Nahrain,Confirmed,Murder,https://cpj.org/data/people/laith-al-dulaimi/
"Lanka Jayasundara",Killed,"December 11, 2004","Sri Lanka","Wijeya Publications",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/lanka-jayasundara/
"Larry Que",Killed,"December 20, 2016",Philippines,"Catanduanes News Now",Confirmed,Murder,https://cpj.org/data/people/larry-que/
"Lasantha Wickrematunge",Killed,"January 8, 2009","Sri Lanka","The Sunday Leader",Confirmed,Murder,https://cpj.org/data/people/lasantha-wickrematunge/
"Lawrence Fahmy al-Naimi",Killed,"May 27, 2012",Syria,"Shaam News Network",Confirmed,Crossfire,https://cpj.org/data/people/lawrence-fahmy-al-naimi/
"Layal Najib",Killed,"July 23, 2006",Lebanon,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/layal-najib/
"Lea Dalmacio",Killed,"November 23, 2009",Philippines,"Socsargen News",Confirmed,Murder,https://cpj.org/data/people/lea-dalmacio/
"Leiron Kogoya",Killed,"April 8, 2012",Indonesia,"Papua Pos Nabire and Pasifik Pos Dail",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/leiron-kogoya/
"Leobardo Vázquez Atzin",Killed,"March 21, 2018",Mexico,"Enlace Informativo Regional",Confirmed,Murder,https://cpj.org/data/people/leobardo-vazquez-atzin/
"Leonardo Gabriel Hernández",Killed,"March 17, 2019",Honduras,"Valle TV",Confirmed,Murder,https://cpj.org/data/people/leonardo-gabriel-hernandez/
"Leslie Ann Pamela Montenegro del Real",Killed,"February 5, 2018",Mexico,"El Sillón",Confirmed,Murder,https://cpj.org/data/people/leslie-ann-pamela-montenegro-del-real/
"Leyla Yildizhan (Deniz Firat)",Killed,"August 8, 2014",Iraq,"Firat News Agency",Confirmed,Crossfire,https://cpj.org/data/people/leyla-yildizhan-deniz-firat/
"Liban Abdullahi Farah",Killed,"July 7, 2013",Somalia,"Kalsan TV",Confirmed,Murder,https://cpj.org/data/people/liban-abdullahi-farah/
"Liban Ali Nur",Killed,"September 20, 2012",Somalia,"Somali National TV",Confirmed,Murder,https://cpj.org/data/people/liban-ali-nur/
"Lindo Lupogan",Killed,"November 23, 2009",Philippines,"Mindanao Daily Gazette",Confirmed,Murder,https://cpj.org/data/people/lindo-lupogan/
"Loay al-Nimir",Killed,"January 31, 2013",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/loay-al-nimir/
"Lokman Slim",Killed,"February 3, 2021",Lebanon,Freelance,Confirmed,Murder,https://cpj.org/data/people/lokman-slim/
"Louay Sadiq Meshaal",Killed,"October 1, 2017",Iraq,"Al-Nujaba TV",Confirmed,Crossfire,https://cpj.org/data/people/louay-sadiq-meshaal/
"Lourenço Veras",Killed,"February 12, 2020",Paraguay,"Porã News",Confirmed,Murder,https://cpj.org/data/people/lourenco-veras/
"Lucas Mebrouk Dolega",Killed,"January 17, 2011",Tunisia,"European Pressphoto Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/lucas-mebrouk-dolega/
"Luciano Leitão Pedrosa",Killed,"April 9, 2011",Brazil,"TV Vitória and Radio Metropolitana FM",Confirmed,Murder,https://cpj.org/data/people/luciano-leitao-pedrosa/
"Luis Alonzo Almendares",Killed,"September 27, 2020",Honduras,Freelance,Confirmed,Murder,https://cpj.org/data/people/luis-alonzo-almendares/
"Luis Antonio Peralta Cuéllar",Killed,"February 14, 2015",Colombia,"Linda Stereo",Confirmed,Murder,https://cpj.org/data/people/luis-antonio-peralta-cuellar/
"Luis Carlos Santiago",Killed,"September 16, 2010",Mexico,"El Diario",Confirmed,Murder,https://cpj.org/data/people/luis-carlos-santiago/
"Luis Eduardo Alfonso Parada",Killed,"March 18, 2003",Colombia,"Radio Meridiano-70",Confirmed,Murder,https://cpj.org/data/people/luis-eduardo-alfonso-parada/
"Luis Emanuel Ruiz Carrillo",Killed,"March 25, 2011",Mexico,"La Prensa",Confirmed,Murder,https://cpj.org/data/people/luis-emanuel-ruiz-carrillo/
"Luís Gustavo da Silva",Killed,"June 14, 2017",Brazil,Freelance,Confirmed,Murder,https://cpj.org/data/people/luis-gustavo-da-silva/
"Luiz Antônio da Costa",Killed,"July 23, 2003",Brazil,Época,Confirmed,Murder,https://cpj.org/data/people/luiz-antonio-da-costa/
"Luiz Carlos Barbon Filho",Killed,"May 5, 2007",Brazil,"Jornal do Porto, JC Regional, and Rádio Porto FM",Confirmed,Murder,https://cpj.org/data/people/luiz-carlos-barbon-filho/
"Łukasz Masiak",Killed,"June 14, 2015",Poland,"Nasza Mława",Confirmed,Murder,https://cpj.org/data/people/lukasz-masiak/
"Luke Somers",Killed,"December 6, 2014",Yemen,Freelance,Confirmed,Murder,https://cpj.org/data/people/luke-somers/
"Luma al-Karkhi",Killed,"November 15, 2006",Iraq,Al-Dustour,Confirmed,Murder,https://cpj.org/data/people/luma-al-karkhi/
"Lutf Ahmed Nasser Hadiyan",Killed,"September 10, 2025",Yemen,"26 September and Yemen newspapers",Confirmed,Murder,https://cpj.org/data/people/lutf-ahmed-nasser-hadiyan/
"Lyra McKee",Killed,"April 18, 2019",UK,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/lyra-mckee/
"Mafaldo Bezerra Goes",Killed,"February 22, 2013",Brazil,"FM Rio Jaguaribe",Confirmed,Murder,https://cpj.org/data/people/mafaldo-bezerra-goes/
"Magdy Abdel Rahman",Killed,"March 21, 2025",Sudan,"Sudan TV",Confirmed,"Crossfire / Combat Related",https://cpj.org/data/people/magdy-abdel-rahman/
"Magomed Yevloyev",Killed,"August 31, 2008",Russia,Ingushetiya,Confirmed,Murder,https://cpj.org/data/people/magomed-yevloyev/
"Magomedzagid Varisov",Killed,"June 28, 2005",Russia,"Novoye Delo",Confirmed,Murder,https://cpj.org/data/people/magomedzagid-varisov/
"Maha Ibrahim",Killed,"June 25, 2005",Iraq,"Baghdad TV",Confirmed,Crossfire,https://cpj.org/data/people/maha-ibrahim/
"Mahad Ahmed Elmi",Killed,"August 11, 2007",Somalia,"Capital Voice",Confirmed,Murder,https://cpj.org/data/people/mahad-ahmed-elmi/
"Mahad Ali Mohamed",Killed,"November 6, 2016",Somalia,"Codka Mudug Radio",Confirmed,Crossfire,https://cpj.org/data/people/mahad-ali-mohamed/
"Mahad Salad Adan",Killed,"April 5, 2012",Somalia,"Shabelle Media Network",Confirmed,Murder,https://cpj.org/data/people/mahad-salad-adan/
"Maharram Durrani",Killed,"April 30, 2018",Afghanistan,"Radio Azadi,Radio Free Europe/Radio Liberty",Confirmed,Murder,https://cpj.org/data/people/maharram-durrani/
"Maharram Ibrahimov",Killed,"June 4, 2021",Azerbaijan,AzerTag,Confirmed,Crossfire,https://cpj.org/data/people/maharram-ibrahimov/
"Maheshwar Pahari",Killed,"October 4, 2005",Nepal,"Rastriya Swabhiman",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/maheshwar-pahari/
"Mahmoud al-Harbi al-Kafri",Killed,"November 10, 2023",Syria,"Daraa 24",Confirmed,Murder,https://cpj.org/data/people/mahmoud-al-harbi-al-kafri/
"Mahmoud al-Kumi",Killed,"November 20, 2012","Israel and the Occupied Palestinian Territory",Al-Aqsa,Confirmed,Crossfire,https://cpj.org/data/people/mahmoud-al-kumi/
"Mahmoud Hamid Abbas",Killed,"August 15, 2004",Iraq,"Zweites Deutsches Fernsehen",Confirmed,Crossfire,https://cpj.org/data/people/mahmoud-hamid-abbas/
"Mahmoud Islim Al-Basos",Killed,"March 15, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/mahmoud-islim-al-basos/
"Mahmoud Issa Abu Shirby",Killed,"June 25, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mahmoud-issa-abu-shirby/
"Mahmoud Juhjouh",Killed,"May 16, 2024","Israel and the Occupied Palestinian Territory","Palestine Post",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mahmoud-juhjouh/
"Mahmoud Natouf",Killed,"March 14, 2013",Syria,"Sana al-Thawra, Moadamyat Al-Sham Media Center",Confirmed,Crossfire,https://cpj.org/data/people/mahmoud-natouf/
"Mahmoud Wadi",Killed,"December 2, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/mahmoud-wadi/
"Mahmoud Za'al",Killed,"January 25, 2006",Iraq,"Baghdad TV",Confirmed,Crossfire,https://cpj.org/data/people/mahmoud-zaal/
"Mahran al-Deeri",Killed,"December 10, 2014",Syria,Al-Jazeera,Confirmed,Crossfire,https://cpj.org/data/people/mahran-al-deeri/
"Maisara Ahmed Salah",Killed,"November 30, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/maisara-ahmed-salah/
"Majd Fadl Arandas",Killed,"November 1, 2023","Israel and the Occupied Palestinian Territory",Al-Jamaheer,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/majd-fadl-arandas/
"Majeed Mohammed",Killed,"July 16, 2007",Iraq,"Kirkuk al-Yawm and Hawal",Confirmed,Murder,https://cpj.org/data/people/majeed-mohammed/
"Majid Dirani",Killed,"February 19, 2016",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/majid-dirani/
"Maks Levin",Killed,"March 13, 2022",Ukraine,LB.ua,Confirmed,Crossfire,https://cpj.org/data/people/maks-levin/
"Maksim Maksimov",Killed,"June 29, 2006",Russia,Gorod,Confirmed,Murder,https://cpj.org/data/people/maksim-maksimov/
"Malalai Maiwand",Killed,"December 10, 2020",Afghanistan,"Enikass Radio and TV",Confirmed,Murder,https://cpj.org/data/people/malalai-maiwand/
"Malik Arif",Killed,"April 16, 2010",Pakistan,"Samaa TV",Confirmed,Crossfire,https://cpj.org/data/people/malik-arif/
"Mamdouh Qanita",Killed,"November 30, 2024","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mamdouh-qanita/
"Manik Saha",Killed,"January 15, 2004",Bangladesh,"New Age",Confirmed,Murder,https://cpj.org/data/people/manik-saha/
"Manish Kumar Singh",Killed,"August 8, 2021",India,"Sudarshan TV",Confirmed,Murder,https://cpj.org/data/people/manish-kumar-singh/
"Mantas Kvedaravičius",Killed,"April 2, 2022",Ukraine,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/mantas-kvedaravicius/
"Marc Brunereau",Killed,"September 5, 2001",Afghanistan,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/marc-brunereau/
"Marckendy Natoux",Killed,"December 24, 2024",Haiti,Freelance,Confirmed,Murder,https://cpj.org/data/people/marckendy-natoux/
"Marcos de Barros Leopoldo Guerra",Killed,"December 23, 2014",Brazil,"Ubatuba Cobra",Confirmed,Murder,https://cpj.org/data/people/marcos-de-barros-leopoldo-guerra/
"Marcos Efraín Montalvo",Killed,"September 19, 2021",Colombia,Freelance,Confirmed,Murder,https://cpj.org/data/people/marcos-efrain-montalvo/
"Marcos Hernández Bautista",Killed,"September 21, 2018",Mexico,"Noticias, Voz e Imagen de Oaxaca",Confirmed,Murder,https://cpj.org/data/people/marcos-hernandez-bautista/
"María Efigenia Vásquez Astudillo",Killed,"October 8, 2017",Colombia,"Renacer Kokonuko",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/maria-efigenia-vasquez-astudillo/
"Maria Elena Ferral Hernández",Killed,"March 30, 2020",Mexico,"El Diario de Xalapa,El Quinto Poder",Confirmed,Murder,https://cpj.org/data/people/maria-elena-ferral-hernandez/
"Maria Elizabeth Macías Castro",Killed,"September 24, 2011",Mexico,Freelance,Confirmed,Murder,https://cpj.org/data/people/maria-elizabeth-macias-castro/
"Maria Grazia Cutuli",Killed,"November 19, 2001",Afghanistan,"Corriere della Serra",Confirmed,Murder,https://cpj.org/data/people/maria-grazia-cutuli/
"María José Bravo",Killed,"November 9, 2004",Nicaragua,"La Prensa",Confirmed,Murder,https://cpj.org/data/people/maria-jose-bravo/
"Mariam Abu Dagga",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/mariam-abu-dagga/
"Maricel Vigo",Killed,"June 19, 2006",Philippines,DXND,Confirmed,Murder,https://cpj.org/data/people/maricel-vigo/
"Marie Colvin",Killed,"February 22, 2012",Syria,"The Sunday Times",Confirmed,Murder,https://cpj.org/data/people/marie-colvin/
"Marife “Neneng” Montaño",Killed,"November 23, 2009",Philippines,"Saksi News and DXCI",Confirmed,Murder,https://cpj.org/data/people/marife-neneng-montano/
"Mario Leonel Gómez Sánchez",Killed,"September 21, 2018",Mexico,"El Heraldo de Chiapas",Confirmed,Murder,https://cpj.org/data/people/mario-leonel-gomez-sanchez/
"Mario Randolfo Marques Lopes",Killed,"February 9, 2012",Brazil,"Vassouras na Net",Confirmed,Murder,https://cpj.org/data/people/mario-randolfo-marques-lopes/
"Mario Sy",Killed,"August 1, 2013",Philippines,Freelance,Confirmed,Murder,https://cpj.org/data/people/mario-sy/
"Marites Cablitas",Killed,"November 23, 2009",Philippines,"News Focus and DXDX",Confirmed,Murder,https://cpj.org/data/people/marites-cablitas/
"Mark Gilbert Arriola",Killed,"November 23, 2009",Philippines,UNTV,Confirmed,Murder,https://cpj.org/data/people/mark-gilbert-arriola/
"Marlene Garcia-Esperat",Killed,"March 24, 2005",Philippines,"Midland News and DXKR",Confirmed,Murder,https://cpj.org/data/people/marlene-garcia-esperat/
"Martin Adler",Killed,"June 23, 2006",Somalia,Freelance,Confirmed,Murder,https://cpj.org/data/people/martin-adler/
"Martín La Rotta",Killed,"February 7, 2004",Colombia,"La Palma Estéreo",Confirmed,Murder,https://cpj.org/data/people/martin-la-rotta/
"Martin O'Hagan",Killed,"September 28, 2001",UK,"Sunday World",Confirmed,Murder,https://cpj.org/data/people/martin-ohagan/
"Martin Roxas",Killed,"August 7, 2008",Philippines,DYVR,Confirmed,Murder,https://cpj.org/data/people/martin-roxas/
"Martinez Zogo",Killed,"January 17, 2023",Cameroon,"Amplitude FM",Confirmed,Murder,https://cpj.org/data/people/martinez-zogo/
"Marwan Al Sawaf",Killed,"December 1, 2023","Israel and the Occupied Palestinian Territory","Alef Multimedia",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/marwan-al-sawaf/
"Mauricio Cruz Solís",Killed,"October 29, 2024",Mexico,"Radiorama Michoacán, Minuto x Minuto",Confirmed,Murder,https://cpj.org/data/people/mauricio-cruz-solis/
"Maximilien Lazard",Killed,"February 23, 2022",Haiti,"Roi des Infos",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/maximilien-lazard/
"Maximino Rodríguez",Killed,"April 14, 2017",Mexico,Freelance,Confirmed,Murder,https://cpj.org/data/people/maximino-rodriguez/
"Maya Naser",Killed,"September 26, 2012",Syria,"Press TV",Confirmed,Crossfire,https://cpj.org/data/people/maya-naser/
"Mayada Ashraf",Killed,"March 28, 2014",Egypt,Al-Dustour,Confirmed,Crossfire,https://cpj.org/data/people/mayada-ashraf/
"Mazen al-Tumeizi",Killed,"September 12, 2004",Iraq,Al-Arabiya,Confirmed,Crossfire,https://cpj.org/data/people/mazen-al-tumeizi/
"Mazen Dana",Killed,"August 17, 2003",Iraq,Reuters,Confirmed,Crossfire,https://cpj.org/data/people/mazen-dana/
"Mazhar Tayyara",Killed,"February 4, 2012",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/mazhar-tayyara/
"Mehboob Khan",Killed,"April 28, 2007",Pakistan,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mehboob-khan/
"Mehmood Khan",Killed,"August 8, 2016",Pakistan,DawnNews,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mehmood-khan/
"Michael Kelly",Killed,"April 3, 2003",Iraq,"Atlantic Monthly and The Washington Post",Confirmed,Crossfire,https://cpj.org/data/people/michael-kelly/
"Michael Tshele",Killed,"January 13, 2014","South Africa",Freelance,Confirmed,Murder,https://cpj.org/data/people/michael-tshele/
"Michelle Lang",Killed,"December 30, 2009",Afghanistan,"Calgary Herald and Canwest News Service",Confirmed,Crossfire,https://cpj.org/data/people/michelle-lang/
"Mick Deane",Killed,"August 14, 2013",Egypt,"Sky News",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mick-deane/
"Miguel Pérez Julca",Killed,"March 17, 2007",Peru,"Radio Éxitos",Confirmed,Murder,https://cpj.org/data/people/miguel-perez-julca/
"Mika Yamamoto",Killed,"August 20, 2012",Syria,"Japan Press",Confirmed,Crossfire,https://cpj.org/data/people/mika-yamamoto/
"Mikhail Beketov",Killed,"April 8, 2013",Russia,"Khimkinskaya Pravda",Confirmed,Murder,https://cpj.org/data/people/mikhail-beketov/
"Milan Pantic",Killed,"June 11, 2001",Yugoslavia,"Vecernje Novosti",Confirmed,Murder,https://cpj.org/data/people/milan-pantic/
"Mina Khairi",Killed,"June 3, 2021",Afghanistan,"Ariana News TV",Confirmed,Murder,https://cpj.org/data/people/mina-khairi/
"Mir Wahed Shah",Killed,"May 30, 2020",Afghanistan,"Khurshid TV",Confirmed,Murder,https://cpj.org/data/people/mir-wahed-shah/
"Miroslava Breach Velducea",Killed,"March 23, 2017",Mexico,"La Jornada",Confirmed,Murder,https://cpj.org/data/people/miroslava-breach-velducea/
"Mirza Iqbal Hussain",Killed,"January 10, 2013",Pakistan,"News Network International",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mirza-iqbal-hussain/
"Mirza Waseem Baig",Killed,"August 30, 2019",Pakistan,"92 News",Confirmed,Murder,https://cpj.org/data/people/mirza-waseem-baig/
"Misri Khan",Killed,"September 14, 2010",Pakistan,"Ausaf and Mashriq",Confirmed,Murder,https://cpj.org/data/people/misri-khan/
"Moamen Abu AlOuf",Killed,"June 9, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/moamen-abu-alouf/
"Moamen Aliwa",Killed,"August 10, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/moamen-aliwa/
"Moaz Abu Taha",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/moaz-abu-taha/
"Mohamad Al-Bayyari",Killed,"November 2, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamad-al-bayyari/
"Mohamad Al-Iff",Killed,"December 24, 2023","Israel and the Occupied Palestinian Territory",Al-Rai,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamad-al-iff/
"Mohamed Abazied (George Samara)",Killed,"March 12, 2017",Syria,"Nabd Syria Satellite Station/ Syria Media Organization (SMO)",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-abazied-george-samara/
"Mohamed Abu Halima",Killed,"March 22, 2004","Israel and the Occupied Palestinian Territory","An-Najah National University Radio",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-abu-halima/
"Mohamed Abu Hassira",Killed,"November 7, 2023","Israel and the Occupied Palestinian Territory",WAFA,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-abu-hassira/
"Mohamed Ahmed Taysir Bellou",Killed,"November 19, 2013",Syria,"Shahba Press",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-ahmed-taysir-bellou/
"Mohamed al-Hamdani",Killed,"February 24, 2011",Iraq,Al-Itijah,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-al-hamdani/
"Mohamed al-Khal",Killed,"November 25, 2012",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/mohamed-al-khal/
"Mohamed al-Mesalma",Killed,"January 18, 2013",Syria,Al-Jazeera,Confirmed,Crossfire,https://cpj.org/data/people/mohamed-al-mesalma/
"Mohamed Amin",Killed,"December 3, 2009",Somalia,"Radio Shabelle",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-amin/
"Mohamed Ben Khalifa",Killed,"January 19, 2019",Libya,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/mohamed-ben-khalifa/
"Mohamed El Sayed Abu Skheil",Killed,"March 18, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-el-sayed-abu-skheil/
"Mohamed El-Reefi",Killed,"March 15, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-el-reefi/
"Mohamed Ibrahim Raage",Killed,"April 21, 2013",Somalia,"Radio Mogadishu, Somali National Television",Confirmed,Murder,https://cpj.org/data/people/mohamed-ibrahim-raage/
"Mohamed Isaq",Killed,"December 5, 2014",Somalia,"Kalsan TV",Confirmed,Murder,https://cpj.org/data/people/mohamed-isaq/
"Mohamed Isse Hassan",Killed,"October 29, 2022",Somalia,"M24 Somali TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-isse-hassan/
"Mohamed Jamal Sobhi Al-Thalathini",Killed,"January 11, 2024","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-jamal-sobhi-al-thalathini/
"Mohamed Manhal Abu Armana",Killed,"July 13, 2024","Israel and the Occupied Palestinian Territory","Palestine Now",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-manhal-abu-armana/
"Mohamed Meshmesh",Killed,"July 15, 2024","Israel and the Occupied Palestinian Territory","Al-Aqsa Voice Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-meshmesh/
"Mohamed Mohamud",Killed,"October 26, 2013",Somalia,"Universal TV",Confirmed,Murder,https://cpj.org/data/people/mohamed-mohamud/
"Mohamed Mohamud Turyare",Killed,"October 28, 2012",Somalia,"Shabelle Media Network",Confirmed,Murder,https://cpj.org/data/people/mohamed-mohamud-turyare/
"Mohamed Mouin Ayyash",Killed,"November 23, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-mouin-ayyash/
"Mohamed Nabil Al-Zaq",Killed,"November 22, 2023","Israel and the Occupied Palestinian Territory","Al Quds",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-nabil-al-zaq/
"Mohamed Naser Abu Huwaidi",Killed,"December 23, 2023","Israel and the Occupied Palestinian Territory",Al-Istiklal,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-naser-abu-huwaidi/
"Mohamed Quratem",Killed,"November 28, 2012",Syria,"Enab Baladi",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-quratem/
"Mohamed Saeed al-Hamwi",Killed,"February 17, 2013",Syria,"Qaboun Media Center",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-saeed-al-hamwi/
"Mohamed Sahal Omar",Killed,"July 1, 2019",Somalia,"SBC TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-sahal-omar/
"Mohamed Shamsan",Killed,"April 20, 2015",Yemen,"Yemen Today",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-shamsan/
"Mohamed Taani",Killed,"June 27, 2014",Syria,"SMART News Agency",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-taani/
"Mohamed Yaghi",Killed,"February 23, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohamed-yaghi/
"Mohamed Yamen Naddaf",Killed,"November 24, 2013",Syria,"Shahba Press",Confirmed,Crossfire,https://cpj.org/data/people/mohamed-yamen-naddaf/
"Mohammad Abbas Mohammad",Killed,"August 7, 2006",Iraq,"Al-Bayinnah al-Jadida",Confirmed,Murder,https://cpj.org/data/people/mohammad-abbas-mohammad/
"Mohammad al-Khaldi",Killed,"August 10, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/mohammad-al-khaldi/
"Mohammad al-Qadasi",Killed,"January 22, 2018",Yemen,"Belqees TV",Confirmed,Crossfire,https://cpj.org/data/people/mohammad-al-qadasi/
"Mohammad Balousha",Killed,"October 17, 2023","Israel and the Occupied Palestinian Territory","Palestine Today",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammad-balousha/
"Mohammad Hilal Karji",Killed,"June 6, 2007",Iraq,"Baghdad TV",Confirmed,Murder,https://cpj.org/data/people/mohammad-hilal-karji/
"Mohammad Imran",Killed,"January 4, 2009",Pakistan,"Express TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/mohammad-imran/
